pl_name,hostname,pl_bmasse,pl_rade,pl_orbper,discoverymethod,disc_year,st_teff,st_rad
XO-2 S d,XO-2 S,1179.14338997,13.0,4696.0,Radial Velocity,2024,5325.0,1.02
Kepler-1808 b,Kepler-1808,9.4,3.02511302,23.3404007,Transit,2021,5530.0,0.892
Kepler-418 b,Kepler-418,349.6112477,13.45,86.67856,Transit,2014,5820.0,1.09
Kepler-249 d,Kepler-249,3.09,1.57,15.368459,Transit,2014,3568.0,0.482
OGLE-2017-BLG-0364L b,OGLE-2017-BLG-0364L,75.8,10.3,,Microlensing,2024,,
Kepler-1408 b,Kepler-1408,0.64,0.89,2.99793191,Transit,2016,6170.0,1.35
HR 8799 b,HR 8799,2000.0,13.0,170000.0,Imaging,2008,7204.58,1.49338
Kepler-500 b,Kepler-500,7.18,2.58,8.508324398,Transit,2016,5813.0,1.03
CoRoT-17 b,CoRoT-17,772.29,11.43,3.7681,Transit,2011,5740.0,1.59
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,127.0,14.0,,Microlensing,2018,,
CoRoT-7 d,CoRoT-7,17.142,4.31,8.966,Radial Velocity,2022,5250.0,0.8389
Kepler-1685 b,Kepler-1685,7.16,2.57673985,20.4905,Transit,2020,5484.0,0.835451
Kepler-296 b,Kepler-296,3.22,1.61,10.864384,Transit,2014,3740.0,0.48
TOI-1744.01,TOI-1744,7.65,2.68,22.341702927,Transit,2024,6179.0,1.14
KMT-2021-BLG-1547L b,KMT-2021-BLG-1547L,467.20775829,13.6,,Microlensing,2023,,
TOI-4377 b,TOI-4377,304.1617855,15.10970598,4.378081,Transit,2023,4974.0,3.52
HD 64114 b,HD 64114,17.8,4.41,45.791,Radial Velocity,2019,5676.0,0.882858
TOI-858 B b,TOI-858 B,349.6112477,14.06727078,3.2797178,Transit,2023,5842.0,1.308
HD 27969 b,HD 27969,1525.5763536,12.9,654.5,Radial Velocity,2021,5966.0,1.27
Kepler-1947 b,Kepler-1947,1.01,1.0101666,6.963630199,Transit,2021,6040.0,1.686
Kepler-81 d,Kepler-81,1.92,1.21,20.837846,Transit,2014,4500.0,0.595
Kepler-900 b,Kepler-900,4.98,2.08,6.9913086,Transit,2016,4836.0,0.73
TOI-1296 b,TOI-1296,95.3,14.11645916,3.9443736,Transit,2021,5567.0,1.7031
HD 24040 b,HD 24040,1589.142035,12.9,3668.0,Radial Velocity,2006,5802.0,1.3
Kepler-638 b,Kepler-638,4.01,1.83,6.07972888,Transit,2016,5382.0,0.93
Kepler-375 b,Kepler-375,2.7,1.45,12.125934,Transit,2014,5826.0,0.837
Kepler-1590 b,Kepler-1590,1.55,1.14,7.61760804,Transit,2016,6053.0,1.16
Kepler-666 b,Kepler-666,6.35,2.4,4.49876092,Transit,2016,5887.0,1.05
Kepler-586 b,Kepler-586,8.2,2.79,2.104722184,Transit,2016,5575.0,0.92
HD 180053 b,HD 180053,697.31902,13.3,213.72,Radial Velocity,2018,5131.0,4.06
Kepler-1827 b,Kepler-1827,4.1,1.85644292,3.700619936,Transit,2021,5423.0,1.404
Kepler-83 b,Kepler-83,2.94,2.83,9.77,Transit,2012,4082.0,0.61
TOI-1410 c,TOI-1410,27.0,5.63,47.56,Radial Velocity,2024,4635.0,0.7558
Kepler-578 b,Kepler-578,4.66,2.0,1.616883696,Transit,2016,5334.0,0.83
TOI-3807 b,TOI-3807,330.54154328,18.49481816,2.8989727,Transit,2023,5772.0,1.468
K2-392 b,K2-392,4.08,1.85,15.398723,Transit,2022,5726.0,1.058
UKIRT-2017-BLG-001L b,UKIRT-2017-BLG-001L,407.0,13.7,,Microlensing,2018,,
Kepler-239 b,Kepler-239,6.04,2.33,11.763051,Transit,2014,4914.0,0.763
Kepler-1812 b,Kepler-1812,6.01,2.3249424,7.165219784,Transit,2021,6174.0,1.103
HD 191939 c,HD 191939,8.0,3.195,28.579743,Transit,2020,5348.0,0.94
Kepler-931 b,Kepler-931,2.33,1.33,8.03755877,Transit,2016,5241.0,0.81
Kepler-501 c,Kepler-501,3.47,1.68119739,3.622760057,Transit,2021,5794.0,1.216
TIC 38825265 b,TIC 38825265,5.43,2.18869476,3.31336980985,Transit,2026,4375.52,0.664503
Kepler-1664 b,Kepler-1664,9.45,3.03320653,14.3868,Transit,2020,5735.81,1.072
WASP-105 b,WASP-105,572.094,10.76064,7.87288,Transit,2017,5070.0,0.9
Kepler-58 b,Kepler-58,35.5,2.78,10.2184954,Transit,2012,5843.0,1.03
GJ 887 b,GJ 887,3.9,1.8,9.2619,Radial Velocity,2020,3688.0,0.468
TOI-1759 b,TOI-1759,10.8,3.14,18.85019,Transit,2022,4065.0,0.597
HIP 70849 b,HIP 70849,1430.2278315,12.9,3649.0,Radial Velocity,2011,4105.0,0.633112
KOI-142 b,KOI-142,9.5,3.438,10.91647,Transit,2013,5466.0,0.897
Barnard c,Barnard's star,0.335,0.743,4.1244,Radial Velocity,2025,3195.0,0.185
HATS-62 b,HATS-62,56.89157,11.825495,3.2768837,Transit,2018,5416.0,0.933
Kepler-1350 c,Kepler-1350,3.64,1.73,1.766789062,Transit,2016,3827.0,0.53
TOI-1410.01,TOI-1410,12.5,3.10083009,1.21687,Transit,2024,4635.0,0.7558
TOI-5110 b,TOI-5110,921.7023803,11.98240037,30.158577,Transit,2024,6160.0,2.333
GJ 229 A c,GJ 229,8.58136699,2.87,121.93268,Radial Velocity,2020,3564.0,0.46
Kepler-341 c,Kepler-341,3.53,1.7,8.01041,Transit,2014,6012.0,1.024
TOI-791 c,TOI-791,18.6,12.94637271,232.0157,Transit,2026,6294.0,1.474
Kepler-590 b,Kepler-590,15.2,4.02,5.85296257,Transit,2016,6000.0,1.15
HD 180902 b,HD 180902,535.54355,13.5,510.9,Radial Velocity,2009,4961.0,4.16
Qatar-7 b,Qatar-7,597.5204,19.0553,2.032046,Transit,2019,6387.0,1.564
TOI-5624 e,TOI-5624,8.9,3.247,21.489936,Transit,2026,5327.0,0.82
Kepler-764 b,Kepler-764,3.33,1.64,7.33683936,Transit,2016,5557.0,0.89
TOI-7166 b,TOI-7166,4.7,2.01,12.92063621,Transit,2025,3099.0,0.222
TOI-6695 b,TOI-6695,66.74396547,9.52763359,80.389,Transit,2025,6400.0,1.517
GJ 3998 b,GJ 3998,2.5,1.39,2.65033,Radial Velocity,2016,3726.0,0.5
Kepler-656 b,Kepler-656,9.91,3.12,1.260259094,Transit,2016,5281.0,0.82
KIC 8540376 c,KOI-7892,6.35,2.4,75.2,Transit,2015,6474.0,1.26
Kepler-751 b,Kepler-751,6.62,2.46,17.44490636,Transit,2016,5387.0,0.84
HD 207496 b,HD 207496,6.1,2.25,6.441008,Transit,2023,4819.0,0.769
Kepler-276 d,Kepler-276,16.3,2.8,48.648,Transit,2013,5693.0,1.03
WASP-37 b,WASP-37,572.07,13.002,3.577469,Transit,2010,5800.0,1.003
TOI-1203 e,TOI-1203,42.1,7.31,204.59,Radial Velocity,2025,5737.0,1.179
Kepler-122 f,Kepler-122,36.0,1.75,56.268,Transit Timing Variations,2014,5917.0,0.949
OGLE-2016-BLG-0263L b,OGLE-2016-BLG-0263L,1300.0,13.0,,Microlensing,2017,,
Kepler-397 c,Kepler-397,31.6,6.18,135.498527,Transit,2014,5307.0,0.767
Kepler-1503 b,Kepler-1503,5.77,2.27,96.16987,Transit,2016,5069.0,0.74
TOI-1776 b,TOI-1776,1.4,1.21612741,2.799868,Transit,2024,5785.0,0.9356
Kepler-1781 b,Kepler-1781,6.26,2.38091029,4.88752985,Transit,2021,5568.0,0.957
HAT-P-40 b,HAT-P-40,152.5584,17.03768,4.45724,Transit,2012,6080.0,1.94
HD 81688 b,HD 81688,525.68818518,13.5,183.93,Radial Velocity,2007,4797.0,11.13
K2-19 d,K2-19,6.2,1.044,2.50827,Transit,2016,5350.0,0.824
Kepler-1309 b,Kepler-1309,6.21,2.37,28.8432647,Transit,2016,5235.0,0.8
HD 169830 c,HD 169830,2437.42605328,12.6,1818.82339,Radial Velocity,2003,6300.0,1.935709
ZTF J1230-2655 b,ZTF J1230-2655,7024.0077947,13.78704626,0.23597766,Transit,2025,10000.0,0.0123
TOI-2525 b,TOI-2525,26.69758619,8.67575106,23.2856,Transit,2023,5096.0,0.785
Kepler-57 c,Kepler-57,6.86,2.196,11.6,Transit,2012,5187.9,0.826
Kepler-1300 b,Kepler-1300,2.45,1.37,22.2419092,Transit,2016,6130.0,1.79
K2-104 b,K2-104,3.86,1.79,1.9741954,Transit,2016,3712.0,0.48
KOI-134 b,KOI-134,346.43296363,12.03844527,67.1277,Transit,2025,6160.0,1.667
TOI-1768.01,TOI-1768,11.8,3.453,7.337703649,Transit,2024,5994.0,1.1
KMT-2023-BLG-2209L b,KMT-2023-BLG-2209L,254.2627256,13.9,,Microlensing,2025,,
HD 150706 b,HD 150706,772.32302901,13.3,5894.0,Radial Velocity,2012,5961.0,0.96
HR 8799 e,HR 8799,3178.3,13.11453,20815.6,Imaging,2010,7400.0,1.49338
Kepler-770 b,Kepler-770,5.9,2.3,18.92540274,Transit,2016,5598.0,0.92
HD 95089 b,HD 95089,400.4658,13.7,464.4,Radial Velocity,2009,4918.0,5.08
HIP 10090 c,HIP 10090,270.15414595,13.9,321.82,Radial Velocity,2026,5661.0,1.38268
Kepler-1600 c,Kepler-1600,4.43,1.94206512,7.298049927,Transit,2021,5119.0,0.834
TOI-1782.01,TOI-1782,6.2,2.368,4.987641028,Transit,2024,4336.0,0.669
Kepler-855 b,Kepler-855,52.7,8.35,7.886631104,Transit,2016,5835.0,1.03
KMT-2021-BLG-0748L b,KMT-2021-BLG-0748L,143.02278315,14.3,,Microlensing,2022,,
Kepler-24 e,Kepler-24,26.2118,2.78,18.998355,Transit,2014,5897.0,1.289
Kepler-1435 b,Kepler-1435,0.566,0.86,4.45343281,Transit,2016,6356.0,1.32
Kepler-1771 b,Kepler-1771,15.5,4.05537256,88.64399719,Transit,2021,5661.0,0.934
Kepler-338 b,Kepler-338,30.6,2.44,13.726976,Transit,2014,5923.0,1.735
HD 5583 b,HD 5583,1837.0574,12.8,139.35,Radial Velocity,2016,4830.0,9.09
HD 188641 b,HD 188641,9333.03117155,11.9,14583.81038,Radial Velocity,2022,5897.32,1.94492
K2-39 b,K2-39,28.6047,6.27704,4.60543,Transit,2016,4881.0,2.97
OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,2.5,1.39,,Microlensing,2021,,
Kepler-1872 b,Kepler-1872,6.28,2.38421141,3.825910091,Transit,2021,5223.0,0.885
GSC 06214-00210 b,GSC 06214-00210,5000.0,20.1762,,Imaging,2010,4200.0,0.90484
K2-130 b,K2-130,2.1,1.25,2.49412,Transit,2017,4356.47,0.744261
HD 89839 b,HD 89839,1748.0562385,12.8,3391.2,Radial Velocity,2023,6314.0,1.28588
Kepler-106 e,Kepler-106,11.17,2.56,43.8445,Transit,2014,5858.0,1.04
Kepler-430 c,Kepler-430,3.71,1.75,110.979,Transit,2015,5884.0,1.485
Ross 508 b,Ross 508,4.0,1.83,10.77,Radial Velocity,2022,3071.0,0.2113
Kepler-869 b,Kepler-869,12.7,3.61,40.4287755,Transit,2016,5664.0,0.95
GJ 2126 b,GJ 2126,413.1769291,13.6,272.7,Radial Velocity,2025,4159.0,0.728
HATS-72 b,HATS-72,39.855882,8.0973816,7.3279474,Transit,2020,4656.1,0.7214
WASP-46 b,WASP-46,607.0553,13.159366,1.43036763,Transit,2011,5600.0,0.858
Kepler-932 b,Kepler-932,2.45,1.37,1.921437396,Transit,2016,5331.0,0.84
HD 1605 b,HD 1605,296.85322,13.8,577.2,Radial Velocity,2015,4915.0,3.49
Kepler-1206 b,Kepler-1206,3.33,1.64,1.216997663,Transit,2016,4877.0,0.75
Kepler-520 b,Kepler-520,3.39,1.66,19.67416124,Transit,2016,6112.0,1.09
Kepler-27 c,Kepler-27,4385.87,4.9,31.3309,Transit,2011,5400.0,0.59
Kepler-1250 b,Kepler-1250,4.35,1.92,2.607543834,Transit,2016,5717.0,0.98
TOI-2141 b,TOI-2141,20.1,3.147,18.261608,Transit,2023,5635.0,0.95
GJ 317 b,GJ 317,794.5,13.3,695.69,Radial Velocity,2007,3496.0,0.403
Kepler-1851 b,Kepler-1851,14.5,3.90012032,12.02289963,Transit,2021,5982.0,0.879
K2-308 b,K2-308,70.6,9.916,3.38628,Transit,2019,6100.0,1.24
KOINTREAU-1 b,XEST 17-036,3368.9811142,12.4,,Imaging,2026,3551.0,
Kepler-350 b,Kepler-350,16.9,1.85,11.189562,Transit,2014,6186.0,1.534
K2-414 c,K2-414,4.38,1.9287,6.669,Transit,2022,4343.0,0.732
K2-148 b,K2-148,2.33,1.33,4.38395,Transit,2018,4079.0,0.632
Kepler-633 b,Kepler-633,3.29,1.63,8.50340718,Transit,2016,5899.0,1.15
Kepler-61 b,Kepler-61,5.27,2.15,59.87756,Transit,2013,4017.0,0.62
TOI-4562 b,TOI-4562,732.0,12.53,225.1064,Transit,2023,6096.0,1.152
Kepler-1154 c,Kepler-1154,6.17,2.36,8.45808312,Transit,2016,6327.0,1.43
Kepler-241 c,Kepler-241,7.13,2.57,36.065978,Transit,2014,4699.0,0.668
Kepler-863 b,Kepler-863,8.75,2.9,15.59461874,Transit,2016,5678.0,0.95
CoRoT-35 b,CoRoT-35,349.6112477,18.83108758,3.22748,Transit,2022,6390.0,1.65
Kepler-1127 b,Kepler-1127,4.5,1.96,5.12330347,Transit,2016,5664.0,0.95
Kepler-51 d,Kepler-51,7.6,9.7,130.194,Transit,2014,6018.0,0.94
Kepler-1234 b,Kepler-1234,8.3,2.81,11.94014029,Transit,2016,4967.0,0.76
HAT-P-27 b,HAT-P-27,197.05,11.43,3.039577,Transit,2011,5316.0,0.864673
Kepler-1934 b,Kepler-1934,0.702,0.91307734,1.419759989,Transit,2021,5925.0,1.035
GJ 3090 b,GJ 3090,4.52,2.18,2.85310198,Transit,2022,3707.0,0.516
Kepler-1344 b,Kepler-1344,4.04,1.84,4.7683049,Transit,2016,5981.0,1.13
Kepler-1124 b,Kepler-1124,2.18,1.28,2.852348975,Transit,2016,3658.0,0.34
Kepler-117 c,Kepler-117,584.78,12.341,50.790391,Transit,2014,6150.0,1.606
K2-97 b,K2-97,174.48779544,13.45077684,8.407115,Transit,2016,4673.0,4.14
TOI-199 c,TOI-199,88.99195396,11.4,273.69,Transit Timing Variations,2023,5255.0,0.82
Kepler-1581 b,Kepler-1581,0.437,0.8,6.28385491,Transit,2016,6022.0,1.23
TOI-206 b,TOI-206,2.24,1.3,0.7363104,Transit,2022,3383.0,0.35
BD+48 740 b,BD+48 740,540.311,13.5,733.0,Radial Velocity,2018,4534.0,10.33
EPIC 212587672 b,EPIC 212587672,2.13,1.26,15.28078,Transit,2019,6004.0,0.98
OGLE-2016-BLG-1800L b,OGLE-2016-BLG-1800L,823.17557413,13.2,,Microlensing,2024,,
HD 4308 b,HD 4308,15.8915,4.12,15.56,Radial Velocity,2005,5686.0,1.02
Kepler-1403 b,Kepler-1403,5.22,2.14,5.19492202,Transit,2016,6060.0,1.15
TOI-707 b,TOI-707,6.42,2.416,52.79918,Transit,2026,5424.0,0.978
Kepler-546 b,Kepler-546,39.1,7.0,4.147020258,Transit,2016,5967.0,1.15
Kepler-299 d,Kepler-299,4.12,1.86,15.054786,Transit,2014,5617.0,1.032
GJ 3929 b,GJ 3929,1.75,1.09,2.616235,Transit,2022,3384.0,0.32
TOI-283 b,TOI-283,6.54,2.34,17.61745,Transit,2025,5213.0,0.85
TOI-205 b,TOI-205,6.81,2.50121142,4.25300773815,Transit,2026,6302.74,1.45382
Kepler-236 b,Kepler-236,3.09,1.57,8.295611,Transit,2014,3750.0,0.51
HIP 8541 b,HIP 8541,2451.7283316,12.6,1852.14387,Radial Velocity,2016,4672.0,6.84
HD 92788 c,HD 92788,1166.4361,13.0,11611.2975,Radial Velocity,2019,5744.0,1.14
HIP 41378 g,HIP 41378,6.81,2.5,63.19,Radial Velocity,2025,6290.0,1.3
Kepler-310 b,Kepler-310,1.81,1.19,13.930698,Transit,2014,5797.0,0.876
Kepler-1886 b,Kepler-1886,7.18,2.58158428,24.2758007,Transit,2021,5745.0,0.837
HD 207832 c,HD 207832,232.0159,14.0,1155.7,Radial Velocity,2012,5710.0,0.901
HD 3167 c,HD 3167,11.41,2.983,29.846511,Transit,2016,5338.0,0.871
HAT-P-49 b,HAT-P-49,699.226,17.82231,2.69155,Transit,2014,6820.0,2.06
TOI-6019 b,TOI-6019,149.0,12.3,14.547952,Transit,2026,5561.0,2.02
MOA-2007-BLG-400L b,MOA-2007-BLG-400L,540.3082919,13.5,,Microlensing,2008,,
16 Cyg B b,16 Cyg B,565.7374,13.5,798.5,Radial Velocity,1996,5750.0,1.13
OGLE-2019-BLG-1492L b,OGLE-2019-BLG-1492L,37.1,6.79,,Microlensing,2022,,
Kepler-522 b,Kepler-522,38.2,6.91,38.58422849,Transit,2016,6392.0,1.98
Kepler-1467 b,Kepler-1467,10.9,3.3,47.0569043,Transit,2016,5332.0,0.82
Kepler-758 c,Kepler-758,3.5,1.69,4.75793986,Transit,2016,6228.0,1.42
Kepler-19 b,Kepler-19,6.1,2.209,9.28699,Transit,2011,5541.0,0.859
Kepler-1102 b,Kepler-1102,7.56,2.66,51.3285623,Transit,2016,5724.0,0.94
HD 72659 c,HD 72659,6165.8710958,12.1,35500.0,Radial Velocity,2022,5929.0,1.36
HD 174205 b,HD 174205,1334.8793094,13.0,582.0,Radial Velocity,2022,4308.0,26.6
HD 110067 c,HD 110067,6.3,2.388,13.673694,Transit,2023,5266.0,0.788
Kepler-617 b,Kepler-617,2.3,1.32,1.682696148,Transit,2016,3712.0,0.48
Kepler-371 c,Kepler-371,3.82,1.78,67.968015,Transit,2014,5666.0,0.992
Kepler-265 e,Kepler-265,7.22,2.59,67.831024,Transit,2014,5835.0,1.103
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,5700.0,12.2,,Microlensing,2018,,
Kepler-1610 c,Kepler-1610,5.02,2.09,44.9851885,Transit,2023,5295.0,0.8
Qatar-2 b,Qatar-2,792.635,14.056,1.33711647,Transit,2011,4645.0,0.776
HD 222076 b,HD 222076,495.8148,13.5,871.0,Radial Velocity,2016,4806.0,4.1
HD 98736 b,HD 98736,740.5439,13.3,968.8,Radial Velocity,2018,5271.0,0.93
K2-338 b,K2-338,1.08,1.03,3.850614,Transit,2021,4558.0,0.63
HD 40979 b,HD 40979,1484.2661,12.9,264.14999,Radial Velocity,2002,6165.0,1.21
TOI-286 b,TOI-286,4.53,1.42,4.5117244,Transit,2024,5152.0,0.78
Kepler-750 c,Kepler-750,3.26,1.62,4.08899022,Transit,2016,6160.0,1.23
Kepler-282 b,Kepler-282,1.01,1.01,9.220524,Transit,2014,5602.0,0.904
Kepler-278 c,Kepler-278,34.9,3.268,51.111,Transit,2014,4965.0,2.861
GJ 180 d,GJ 180,7.56,2.66,106.3,Radial Velocity,2020,3371.0,0.413049
HD 1461 c,HD 1461,5.59,2.23,13.5052,Radial Velocity,2015,5765.0,1.152288
Kepler-1248 b,Kepler-1248,1.76,1.18,7.46725407,Transit,2016,6149.0,1.21
K2-275 b,K2-275,6.08,2.34,3.2809626,Transit,2018,4841.0,0.69
HD 74156 b,HD 74156,532.36258173,13.5,51.63564,Radial Velocity,2003,6068.0,1.510576
Kepler-267 c,Kepler-267,5.18,2.13,6.87745,Transit,2014,4258.0,0.555
K2-86 b,K2-86,4.5,1.96,8.77683,Transit,2016,5482.0,0.76
V830 Tau b,V830 Tau,222.481,14.0,4.927,Radial Velocity,2016,4250.0,2.0
Kepler-377 c,Kepler-377,4.9,2.06,27.014976,Transit,2014,5949.0,1.224
K2-195 c,K2-195,7.16,2.57581891,28.482786,Transit,2018,5712.0,0.906367
Proxima Cen d,Proxima Cen,0.26,0.692,5.12338,Radial Velocity,2025,2900.0,0.141
HD 15906 b,HD 15906,5.65,2.24,10.924709,Transit,2023,4757.0,0.762
HD 196050 b,HD 196050,1493.7935129,12.9,1392.0,Radial Velocity,2002,5879.0,1.42
K2-201 c,K2-201,10.8,3.28568401,22.779878,Transit,2018,5507.0,0.878161
TOI-1279 b,TOI-1279,10.6,2.66146528,9.61419,Transit,2024,5457.0,0.8426
K2-326 b,K2-326,5.82,2.28,1.256,Transit,2020,3924.0,0.688
Kepler-606 b,Kepler-606,11.0,3.31,24.31575992,Transit,2016,6161.0,1.22
Kepler-1575 b,Kepler-1575,2.27,1.31,2.55314213,Transit,2016,5667.0,0.92
Kepler-729 b,Kepler-729,12.5,3.58,3.166353714,Transit,2016,5633.0,0.91
Kepler-1995 b,Kepler-1995,16.9,4.28,73.7578875,Transit,2023,5029.0,0.93
Kepler-1434 b,Kepler-1434,1.41,1.11,8.05333618,Transit,2016,6291.0,2.04
Kepler-82 c,Kepler-82,13.9,5.34,51.54,Transit,2012,5401.0,0.898
Kepler-1538 b,Kepler-1538,8.35,2.82,175.138819,Transit,2016,5837.0,1.03
K2-187 b,K2-187,1.87,1.2,0.77401,Transit,2018,5438.0,0.83
Kepler-464 b,Kepler-464,10.9,3.3,7.256965224,Transit,2016,5933.0,1.59
61 Vir b,61 Vir,5.1,2.11,4.215,Radial Velocity,2009,5577.0,0.963
Kepler-1782 b,Kepler-1782,5.6,2.22927435,5.756229877,Transit,2021,4931.0,0.734
Kepler-1580 b,Kepler-1580,5.1,2.11,56.6449279,Transit,2016,6228.0,2.15
Kepler-198 d,Kepler-198,2.96,1.53,1.31184443,Transit,2016,5636.0,0.93
Kepler-1737 b,Kepler-1737,25.1,5.395,64.61750031,Transit,2021,5043.0,0.881
TOI-1807 b,TOI-1807,2.44,1.49681583,0.54937097,Transit,2021,4914.0,0.746
Kepler-134 c,Kepler-134,2.13,1.26,10.105785,Transit,2014,5983.0,1.176
TOI-1860 b,TOI-1860,2.27,1.31,1.0662107,Transit,2022,5752.0,0.94
Kepler-132 c,Kepler-132,2.18,1.28,6.414914,Transit,2014,6003.0,1.178
GJ 3942 b,GJ 3942,7.14,2.57,6.905,Radial Velocity,2017,3867.0,0.61
Kepler-26 b,Kepler-26,5.12,2.78,12.28,Transit,2011,3914.0,0.512
Kepler-1589 b,Kepler-1589,1.32,1.09,0.991665274,Transit,2016,6166.0,1.25
K2-343 c,K2-343,4.74,2.02,7.676972,Transit,2021,3804.0,0.46
GJ 581 c,GJ 581,6.81,2.5,12.9211,Radial Velocity,2007,3500.0,0.302
HD 196885 A b,HD 196885 A,819.97,13.2,1333.0,Radial Velocity,2007,6254.0,1.31
Kepler-51 e,Kepler-51,5.4,2.18,264.284,Transit Timing Variations,2024,5674.0,0.87
TOI-5592 b,TOI-5592,285.72773789,17.14974047,2.6085846,Transit,2025,6237.0,1.393
Kepler-188 c,Kepler-188,10.3,3.19,5.996553,Transit,2014,6021.0,1.141
HIP 65407 c,HIP 65407,249.17872,13.9,67.3,Radial Velocity,2016,5460.0,0.952252
KOI-1831 d,Kepler-324,2.23,1.13,34.169,Transit,2018,5233.0,0.835
Kepler-279 c,Kepler-279,49.4,4.3,35.736,Transit,2013,6689.45,1.07
TOI-1444 b,TOI-1444,3.58,1.41792246,0.4702743,Transit,2021,5460.0,0.9105
Kepler-329 c,Kepler-329,4.38,1.93,18.684737,Transit,2014,4257.0,0.523
Kepler-487 d,Kepler-487,8.12,2.77513568,2.418390036,Transit,2021,5422.0,0.887
HD 43691 b,HD 43691,810.4665,13.2,36.9987,Radial Velocity,2007,6093.0,1.6
Kepler-797 b,Kepler-797,5.35,2.17,27.07237711,Transit,2016,5680.0,0.95
K2-401 b,K2-401,5.74,2.262,6.293099,Transit,2022,4213.0,0.675
Kepler-199 c,Kepler-199,10.6,3.25,67.093408,Transit,2014,5644.0,0.967
HATS-8 b,HATS-8,43.86054,9.785457,3.583893,Transit,2015,5679.0,1.086
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,4.08,1.85,,Microlensing,2023,,
KOI-1783.01,KOI-1783,71.0,8.86,134.4628,Transit,2020,5922.0,1.143
KELT-16 b,KELT-16,874.0325,15.860735,0.9689951,Transit,2017,6236.0,1.36
Kepler-1681 b,Kepler-1681,7.05,2.55321772,69.8956,Transit,2020,5756.4,0.759
Kepler-780 b,Kepler-780,0.64,0.89,0.677375164,Transit,2016,5769.0,1.02
Kepler-1572 b,Kepler-1572,0.779,0.94,5.49548621,Transit,2016,5618.0,0.95
Kepler-1389 b,Kepler-1389,3.78,1.77,99.2530951,Transit,2016,5078.0,0.74
TOI-544 c,TOI-544,21.5,4.92,50.089,Radial Velocity,2023,4169.0,0.623
Kepler-251 d,Kepler-251,8.1,2.77,30.133001,Transit,2014,5526.0,0.89
Kepler-127 d,Kepler-127,7.46,2.64,48.630408,Transit,2014,6106.0,1.359
CoRoT-12 b,CoRoT-12,291.438,16.14,2.828042,Transit,2010,5675.0,1.116
SWEEPS-4 b,SWEEPS-4,1207.7,9.079,4.2,Transit,2006,,1.18
Kepler-1256 b,Kepler-1256,2.83,1.49,12.4127754,Transit,2016,6129.0,1.36
G 264-012 b,G 264-012,2.5,1.39,2.30538,Radial Velocity,2021,3326.0,0.305
GJ 143 b,GJ 143,22.7,2.61,35.61253,Transit,2019,4640.0,0.695
K2-10 b,K2-10,25.2,3.773,19.30553,Transit,2015,5533.0,0.956
Kepler-182 b,Kepler-182,7.18,2.58,9.825792,Transit,2014,6250.0,1.146
TOI-1659.01,TOI-1659,5.71,2.255,5.877556328,Transit,2024,5977.0,1.006
Kepler-19 d,Kepler-19,22.5,5.06,62.95,Radial Velocity,2017,5544.0,0.859
TOI-237 c,TOI-237,1.9,1.206,1.74486147,Transit,2026,3226.0,0.2056
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,4923.0,12.2,,Microlensing,2018,,
Kepler-564 b,Kepler-564,19.4,4.63,3.750832285,Transit,2016,5626.0,0.92
Kepler-878 b,Kepler-878,4.38,1.93,25.9422033,Transit,2016,5044.0,0.77
Kepler-228 b,Kepler-228,2.96,1.53,2.566546,Transit,2014,6043.0,1.014
HD 6434 b,HD 6434,155.7367,14.2,21.998,Radial Velocity,2003,5769.0,1.12
CoRoT-7 b,CoRoT-7,4.07660518,1.68135,0.85359163,Transit,2009,5275.0,0.83
TOI-2969 b,TOI-2969,368.68095212,12.32987877,1.8237146,Transit,2025,4738.0,0.7
Kepler-610 c,Kepler-610,10.9,3.3,151.86392,Transit,2016,5943.0,1.13
Kepler-1473 b,Kepler-1473,1.81,1.19,14.4273551,Transit,2016,6046.0,1.09
Kepler-447 b,Kepler-447,435.41,18.49,7.79430132,Transit,2015,5493.0,1.05
Kepler-290 d,Kepler-290,0.566,0.86,0.764017553,Transit,2023,5142.0,0.755
HD 34445 e,HD 34445,16.8,4.26,49.175,Radial Velocity,2017,5836.0,1.38
Kepler-384 c,Kepler-384,1.51,1.13,45.348269,Transit,2014,5577.0,0.882
HD 120084 b,HD 120084,2034.1018048,12.7,2142.0,Radial Velocity,2013,4879.0,10.37
Kepler-191 b,Kepler-191,2.36,1.34,9.939632,Transit,2014,5282.0,0.789
GJ 680 b,GJ 680,7977.4930157,12.0,17281.66514,Radial Velocity,2022,3563.0,0.45933
Kepler-917 b,Kepler-917,4.31,1.91,2.970414375,Transit,2016,5418.0,0.76
TOI-1224 c,TOI-1224,8.67,2.884,17.945466,Transit,2024,3326.0,0.404
TOI-1422 b,TOI-1422,9.5,3.83,12.99894,Transit,2022,5840.0,1.019
Kepler-980 b,Kepler-980,7.61,2.67,11.55102504,Transit,2016,5935.0,1.06
HATS-59 b,HATS-59,256.17098,12.621334,5.416081,Transit,2018,5670.0,1.036
HD 73267 c,HD 73267,1630.77755632,12.8,17071.78045,Radial Velocity,2022,5387.0,0.909
