pl_name,hostname,pl_bmasse,pl_rade,pl_orbper,discoverymethod,disc_year,st_teff,st_rad
TOI-5599 b,TOI-5599,40.9,7.1888212,5.43691503941,Transit,2026,6137.02,1.91334
Kepler-906 b,Kepler-906,5.1,2.11,41.6979976,Transit,2016,6035.0,1.02
Kepler-1912 b,Kepler-1912,2.41,1.35670508,6.059219837,Transit,2021,5734.0,0.962
HIP 57274 c,HIP 57274,130.0,14.2,32.03,Radial Velocity,2011,4640.0,0.68
TOI-431 d,TOI-431,9.9,3.29,12.46103,Transit,2021,4850.0,0.731
HATS-1 b,HATS-1,589.55,14.594,3.446459,Transit,2012,5870.0,1.038
KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,60.38739733,9.05,,Microlensing,2022,,
Kepler-735 b,Kepler-735,9.01,2.95,11.51516988,Transit,2016,5107.0,0.8
GJ 341 b,GJ 341,4.0,0.88,7.57686,Transit,2025,3770.0,0.5066
HD 100655 b,HD 100655,511.7063,13.5,157.57001,Radial Velocity,2011,4891.0,10.06
GJ 676 A c,GJ 676 A,4288.14086724,12.3,13921.42302,Radial Velocity,2016,3734.0,0.69
HD 25463 b,HD 25463,8.7,2.54535814,7.0491423,Transit,2023,6353.0,1.4182
TOI-5160 b,TOI-5160,6.33,2.39729851,4.280773256,Transit,2026,5622.14,1.03315
TOI-1260 c,TOI-1260,13.2,2.76,7.493134,Transit,2021,4227.0,0.672
TOI-3235 b,TOI-3235,211.35589065,11.39953337,2.59261842,Transit,2023,3388.8,0.3697
Kepler-1730 b,Kepler-1730,18.4,4.48524519,13.81019974,Transit,2021,5942.0,1.142
Kepler-1583 b,Kepler-1583,0.156,0.6,9.32807355,Transit,2016,5645.0,0.91
Kepler-306 e,Kepler-306,5.77,2.27,44.840975,Transit,2014,4954.0,0.719
HD 217958 b,HD 217958,166.54208527,14.2,2560.19774,Radial Velocity,2022,5930.64,1.32619
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,575.26941667,13.4,,Microlensing,2023,,
Kepler-1839 b,Kepler-1839,4.46,1.9493759,5.056759834,Transit,2021,5926.0,0.939
