source_id,ra,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag
66724451545088128,57.05657664728561,7.405014495827893,0.08721392,8.214289,0.5012932,8.388234,7.886941
66724554624301568,57.0657495505842,7.150294514577566,0.03972785,15.357101,2.564663,16.755922,14.191259
66725379258016768,57.12549941431617,6.89946138162525,0.22321497,6.939808,0.18186283,6.993091,6.8112283
66752042414936704,57.365254679183145,6.868676362419624,0.029826267,14.890118,2.5076437,16.249926,13.742282
66755959425257856,57.57598217276832,7.546025078304683,0.08160137,16.821295,3.003501,18.565859,15.562358
66761903659793152,57.48251419167079,7.531095617508779,0.029123874,15.173774,2.5507517,16.563791,14.01304
66784924684473984,56.57035527663101,6.776699354808705,0.08485547,16.484507,2.613491,17.915495,15.302004
66802276352348416,56.30003774761142,7.5214363388011725,0.020496517,13.399992,1.7045574,14.216869,12.512312
66811450402457216,56.585399836649145,7.454756179233914,0.016104769,13.337562,1.6946535,14.147645,12.4529915
66816295125702144,56.8904124483072,7.422158629100373,0.013427517,12.540388,1.4014874,13.1757765,11.774289
66821655244731264,56.84583318282619,7.761479927581554,0.040834583,15.617148,2.7824202,17.185358,14.402938
66823132713476480,56.899529478888994,7.429236579015259,0.09306064,16.87391,3.0793123,18.656853,15.57754
66847631206903040,56.857553040083815,7.43271679437676,0.05222286,15.424488,2.9366293,17.10973,14.1731
66878245735176704,57.62492811642301,6.936834522963423,0.039600275,15.398036,2.559164,16.79538,14.236216
68334235349446528,55.12811088560629,7.365111276172342,0.03460277,11.509661,1.1079693,11.9762945,10.868325
68605058807852928,55.26734730073163,7.038790280080035,0.14266299,17.910791,3.352625,19.922916,16.570292
69807963184755840,56.25481939508828,7.4811645664167425,0.06247579,16.527004,2.989872,18.252249,15.262377
69876923179646080,55.95194192919897,7.201589805683961,0.058217473,15.993855,3.0450907,17.759949,14.714858
69882455097377536,55.83059520698782,6.863558345580236,0.06379361,16.735687,2.7086535,18.247766,15.539113
69912588588007424,56.229710951373114,7.13142373166908,0.039393328,13.106153,1.9166327,14.0049095,12.088277
69933170071162624,56.14025404019781,7.157893205362709,0.031311035,15.212902,2.390974,16.49189,14.100916
69954713627862528,56.89678892561737,6.764412874641352,0.026262946,13.986233,1.9626875,14.966399,13.003712
69996976105980800,57.39710417795447,7.548105197674344,0.07340198,16.722004,3.0908432,18.528404,15.437561
70042743277270016,56.42996532020241,7.286612572195774,0.056471862,16.206894,2.9062061,17.871216,14.96501
70091259227969920,55.65988578713487,7.234602964116197,0.13170081,17.84341,3.4304466,19.954927,16.52448
